DATE,INTDSRUSM193N
9/1/1983,8.5
10/1/1983,8.5
11/1/1983,8.5
12/1/1983,8.5
1/1/1984,8.5
2/1/1984,8.5
3/1/1984,8.5
4/1/1984,8.5
5/1/1984,8.87
6/1/1984,9
7/1/1984,9
8/1/1984,9
9/1/1984,9
10/1/1984,9
11/1/1984,9
12/1/1984,8.83
1/1/1985,8.37
2/1/1985,8
3/1/1985,8
4/1/1985,8
5/1/1985,8
6/1/1985,7.81
7/1/1985,7.5
8/1/1985,7.5
9/1/1985,7.5
10/1/1985,7.5
11/1/1985,7.5
12/1/1985,7.5
1/1/1986,7.5
2/1/1986,7.5
3/1/1986,7.5
4/1/1986,7.1
5/1/1986,6.83
6/1/1986,6.5
7/1/1986,6.5
8/1/1986,6.16
9/1/1986,5.82
10/1/1986,5.5
11/1/1986,5.5
12/1/1986,5.5
1/1/1987,5.5
2/1/1987,5.5
3/1/1987,5.5
4/1/1987,5.5
5/1/1987,5.5
6/1/1987,5.5
7/1/1987,5.5
8/1/1987,5.5
9/1/1987,5.5
10/1/1987,5.95
11/1/1987,6
12/1/1987,6
1/1/1988,6
2/1/1988,6
3/1/1988,6
4/1/1988,6
5/1/1988,6
6/1/1988,6
7/1/1988,6
8/1/1988,6
9/1/1988,6.37
10/1/1988,6.5
11/1/1988,6.5
12/1/1988,6.5
1/1/1989,6.5
2/1/1989,6.5
3/1/1989,6.59
4/1/1989,7
5/1/1989,7
6/1/1989,7
7/1/1989,7
8/1/1989,7
9/1/1989,7
10/1/1989,7
11/1/1989,7
12/1/1989,7
1/1/1990,7
2/1/1990,7
3/1/1990,7
4/1/1990,7
5/1/1990,7
6/1/1990,7
7/1/1990,7
8/1/1990,7
9/1/1990,7
10/1/1990,7
11/1/1990,7
12/1/1990,7
1/1/1991,6.79
2/1/1991,6.5
3/1/1991,6
4/1/1991,6
5/1/1991,5.98
6/1/1991,5.5
7/1/1991,5.5
8/1/1991,5.5
9/1/1991,5.5
10/1/1991,5.2
11/1/1991,5
12/1/1991,4.58
1/1/1992,4.11
2/1/1992,3.5
3/1/1992,3.5
4/1/1992,3.5
5/1/1992,3.5
6/1/1992,3.5
7/1/1992,3.5
8/1/1992,3.02
9/1/1992,3
10/1/1992,3
11/1/1992,3
12/1/1992,3
1/1/1993,3
2/1/1993,3
3/1/1993,3
4/1/1993,3
5/1/1993,3
6/1/1993,3
7/1/1993,3
8/1/1993,3
9/1/1993,3
10/1/1993,3
11/1/1993,3
12/1/1993,3
1/1/1994,3
2/1/1994,3
3/1/1994,3
4/1/1994,3
5/1/1994,3
6/1/1994,3.24
7/1/1994,3.5
8/1/1994,3.5
9/1/1994,3.76
10/1/1994,4
11/1/1994,4
12/1/1994,4.4
1/1/1995,4.75
2/1/1995,4.75
3/1/1995,5.25
4/1/1995,5.25
5/1/1995,5.25
6/1/1995,5.25
7/1/1995,5.25
8/1/1995,5.25
9/1/1995,5.25
10/1/1995,5.25
11/1/1995,5.25
12/1/1995,5.25
1/1/1996,5.25
2/1/1996,5.24
3/1/1996,5
4/1/1996,5
5/1/1996,5
6/1/1996,5
7/1/1996,5
8/1/1996,5
9/1/1996,5
10/1/1996,5
11/1/1996,5
12/1/1996,5
1/1/1997,5
2/1/1997,5
3/1/1997,5
4/1/1997,5
5/1/1997,5
6/1/1997,5
7/1/1997,5
8/1/1997,5
9/1/1997,5
10/1/1997,5
11/1/1997,5
12/1/1997,5
1/1/1998,5
2/1/1998,5
3/1/1998,5
4/1/1998,5
5/1/1998,5
6/1/1998,5
7/1/1998,5
8/1/1998,5
9/1/1998,5
10/1/1998,5
11/1/1998,4.86
12/1/1998,4.63
1/1/1999,4.5
2/1/1999,4.5
3/1/1999,4.5
4/1/1999,4.5
5/1/1999,4.5
6/1/1999,4.5
7/1/1999,4.5
8/1/1999,4.5
9/1/1999,4.56
10/1/1999,4.75
11/1/1999,4.75
12/1/1999,4.86
1/1/2000,5
2/1/2000,5
3/1/2000,5.24
4/1/2000,5.34
5/1/2000,5.5
6/1/2000,5.71
7/1/2000,6
8/1/2000,6
9/1/2000,6
10/1/2000,6
11/1/2000,6
12/1/2000,6
1/1/2001,6
2/1/2001,5.52
3/1/2001,5
4/1/2001,4.81
5/1/2001,4.28
6/1/2001,3.73
7/1/2001,3.47
8/1/2001,3.25
9/1/2001,3.16
10/1/2001,2.77
11/1/2001,2.02
12/1/2001,1.58
1/1/2002,1.33
2/1/2002,1.25
3/1/2002,1.25
4/1/2002,1.25
5/1/2002,1.25
6/1/2002,1.25
7/1/2002,1.25
8/1/2002,1.25
9/1/2002,1.25
10/1/2002,1.25
11/1/2002,1.25
12/1/2002,0.83
1/1/2003,0.75
2/1/2003,2.25
3/1/2003,2.25
4/1/2003,2.25
5/1/2003,2.25
6/1/2003,2.25
7/1/2003,2
8/1/2003,2
9/1/2003,2
10/1/2003,2
11/1/2003,2
12/1/2003,2
1/1/2004,2
2/1/2004,2
3/1/2004,2
4/1/2004,2
5/1/2004,2
6/1/2004,2
7/1/2004,2.25
8/1/2004,2.25
9/1/2004,2.5
10/1/2004,2.75
11/1/2004,2.75
12/1/2004,3
1/1/2005,3.25
2/1/2005,3.25
3/1/2005,3.5
4/1/2005,3.75
5/1/2005,3.75
6/1/2005,4
7/1/2005,4.25
8/1/2005,4.25
9/1/2005,4.5
10/1/2005,4.75
11/1/2005,4.75
12/1/2005,5
1/1/2006,5.25
2/1/2006,5.5
3/1/2006,5.5
4/1/2006,5.75
5/1/2006,5.75
6/1/2006,6
7/1/2006,6.25
8/1/2006,6.25
9/1/2006,6.25
10/1/2006,6.25
11/1/2006,6.25
12/1/2006,6.25
1/1/2007,6.25
2/1/2007,6.25
3/1/2007,6.25
4/1/2007,6.25
5/1/2007,6.25
6/1/2007,6.25
7/1/2007,6.25
8/1/2007,6.25
9/1/2007,5.75
10/1/2007,5.25
11/1/2007,5
12/1/2007,5
1/1/2008,4.75
2/1/2008,3.5
3/1/2008,3.5
4/1/2008,2.5
5/1/2008,2.25
6/1/2008,2.25
7/1/2008,2.25
8/1/2008,2.25
9/1/2008,2.25
10/1/2008,2.25
11/1/2008,1.25
12/1/2008,1.25
1/1/2009,0.5
2/1/2009,0.5
3/1/2009,0.5
4/1/2009,0.5
5/1/2009,0.5
6/1/2009,0.5
7/1/2009,0.5
8/1/2009,0.5
9/1/2009,0.5
10/1/2009,0.5
11/1/2009,0.5
12/1/2009,0.5
1/1/2010,0.5
2/1/2010,0.5
3/1/2010,0.75
4/1/2010,0.75
5/1/2010,0.75
6/1/2010,0.75
7/1/2010,0.75
8/1/2010,0.75
9/1/2010,0.75
10/1/2010,0.75
11/1/2010,0.75
12/1/2010,0.75
1/1/2011,0.75
2/1/2011,0.75
3/1/2011,0.75
4/1/2011,0.75
5/1/2011,0.75
6/1/2011,0.75
7/1/2011,0.75
8/1/2011,0.75
9/1/2011,0.75
10/1/2011,0.75
11/1/2011,0.75
12/1/2011,0.75
1/1/2012,0.75
2/1/2012,0.75
3/1/2012,0.75
4/1/2012,0.75
5/1/2012,0.75
6/1/2012,0.75
7/1/2012,0.75
8/1/2012,0.75
9/1/2012,0.75
10/1/2012,0.75
11/1/2012,0.75
12/1/2012,0.75
1/1/2013,0.75
2/1/2013,0.75
3/1/2013,0.75
4/1/2013,0.75
5/1/2013,0.75
6/1/2013,0.75
7/1/2013,0.75
8/1/2013,0.75
9/1/2013,0.75
10/1/2013,0.75
11/1/2013,0.75
12/1/2013,0.75
1/1/2014,0.75
2/1/2014,0.75
3/1/2014,0.75
4/1/2014,0.75
5/1/2014,0.75
6/1/2014,0.75
7/1/2014,0.75
8/1/2014,0.75
9/1/2014,0.75
10/1/2014,0.75
11/1/2014,0.75
12/1/2014,0.75
1/1/2015,0.75
2/1/2015,0.75
3/1/2015,0.75
4/1/2015,0.75
5/1/2015,0.75
6/1/2015,0.75
7/1/2015,0.75
8/1/2015,0.75
9/1/2015,0.75
10/1/2015,0.75
11/1/2015,0.75
12/1/2015,0.75
1/1/2016,1
2/1/2016,1
3/1/2016,1
4/1/2016,1
5/1/2016,1
6/1/2016,1
7/1/2016,1
8/1/2016,1
9/1/2016,1
10/1/2016,1
11/1/2016,1
12/1/2016,1
1/1/2017,1.25
2/1/2017,1.25
3/1/2017,1.25
4/1/2017,1.5
5/1/2017,1.5
6/1/2017,1.5
7/1/2017,1.75
8/1/2017,1.75
9/1/2017,1.75
10/1/2017,1.75
11/1/2017,1.75
12/1/2017,1.75
1/1/2018,2
2/1/2018,2
3/1/2018,2
4/1/2018,2.25
5/1/2018,2.25
6/1/2018,2.25
7/1/2018,2.5
8/1/2018,2.5
9/1/2018,2.5
10/1/2018,2.75
11/1/2018,2.75
12/1/2018,2.75
1/1/2019,3
2/1/2019,3
3/1/2019,3
4/1/2019,3
5/1/2019,3
6/1/2019,3
7/1/2019,3
8/1/2019,3
9/1/2019,2.75
10/1/2019,2.5
11/1/2019,2.25
12/1/2019,2.25
1/1/2020,2.25
2/1/2020,2.25
3/1/2020,2.25
4/1/2020,0.25
5/1/2020,0.25
6/1/2020,0.25
7/1/2020,0.25
8/1/2020,0.25
9/1/2020,0.25
10/1/2020,0.25
11/1/2020,0.25
12/1/2020,0.25
